YEAR,DUNSNO,COMPANYNAME,NATIONALCODE,COUNTYCODE,STATECODE,CITYCODE,STREETADDRESS,CITY,STATE,ZIPCODE,ZIPCODE4,MAILINGADDRESSCODE,MAILINGADDRESS,MAILINGCITYNAME,MAILINGSTATE,MAILINGZIPCODE,MAILINGZIPCODE4,PHONENUMBER,PRINCIPAL,DDM,BUSINESSDESCRIPTION,YEARSTARTED,SLS,SLSCODE,EMPLOYEESTHISSITE,EMPLOYEESTHISSITECODE,EMPLOYEESALLSITES,EMPLOYEESALLSITESCODE,SIC1,SIC2,SIC3,SIC4,SIC5,SIC6,SECONDARYNAME,PARENTCITYNAME,PARENTSTATE,DANDBOFFICE,HQDUNSNO,PARENTDUNSNO,ULTDUNSNO,STATUS,SUBSIDIARYINDICATOR,MANUFACTURING,SALESGROWTH,EMPLOYMENTGROWTH,SMSACODE,BASEYEARSALES,BASEYEAREMPLOYMENT,TRENDYEARSALES,TRENDYEAREMPLOYMENT,POPULATIONCODE,TRANSACTIONCODE,HIERCODE,DIASCODE,REPORTDATE
2000,1047708,S/L NATIONAL CORP,0,313,45,5736,4940 VIKING DR STE 480,MINNEAPOLIS,MN,55435,5317,,,,,,,9528319400,STEVE LEVERINGTON,PRESIDENT,NONRESID CONSTR NE,2000,10000000,0,10,0,10,0,1542,100,,,,,,,,,,,,0,0,1,,,370,,,,,9,3,,,1106
2000,1047781,ROSS & ASSOCIATES,0,38,45,1489,19361 TAMARACK ST NW,CEDAR,MN,55011,,,,,,,,7634135102,STEVE MEYER,MANAGER,MANAGEMENT SERVICES,2000,63000,2,1,0,1,0,8741,9902,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1047898,SIGNUS MEDICAL LLC,0,126,45,1556,7140 DERBY DR,CHANHASSEN,MN,55317,9288,,,,,,,9529749456,JEAN HOGHAUG,,OFCS CLNS OF MDL D,2000,260000,2,4,0,4,0,8011,9905,,,,,,,,,,,,0,0,1,,,370,,,,,5,2,,,1018
2000,1047914,EMPOWERMENT SERVICES MINNES,0,775,45,5918,102 SPRUCE DR,MOUNTAIN IRON,MN,55768,9710,,,,,,,2187498872,CLYDE JOHNSON,OWNER,RESIDENTIAL CARE,2000,170000,2,8,0,8,0,8361,105,,,,,,,,,,,,0,0,1,,,166,,,,,7,2,,,1018
2000,1047948,NORTH 65 SALES & SERVICE,0,357,45,5960,36785 STATE HIGHWAY 65,NASHWAUK,MN,55769,4034,,,,,,,2188850031,JAMES A MYERS,OWNER,COMPTR SOFTWRE STR,2000,93000,2,1,0,1,0,5734,0,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1048094,EARTHWISE PROCESSORS LLC,0,170,45,5834,4111 30TH AVE S,MOORHEAD,MN,56560,6001,,,,,,,2182875510,CARROL DUERR,GENERAL MANAGER,CROP PREP SVCS MRK,2000,250000,0,6,0,6,0,723,9902,,,,,,,,,,,,0,0,1,,,187,,,,,5,3,,,1122
2000,1048219,J&J PERFORMANCE AUTO,0,676,45,1998,530 W LORING ST,CROOKSTON,MN,56716,1810,,,,,,,2182816768,GARY RERTMEIER,OWNER,ATMTVE RPR SHPS NE,2000,45000,2,1,0,1,0,7539,0,,,,,,,,,,,,0,0,1,,,218,,,,,5,2,,,1018
2000,1049076,WILD PRAIRIE COMPUTERS & CON,0,731,45,6394,2515 W LINCOLN AVE,OLIVIA,MN,56277,1705,,,,,,,3205231933,GORDON JACQUES,OWNER,COMPTR SOFTWRE STR,2000,93000,2,1,0,1,0,5734,0,,,,,,,,,,,,0,0,1,,,,,,,,4,2,,,1018
2000,1049621,HOME ENCHANTMENTS,0,775,45,2397,2031 W SUPERIOR ST,DULUTH,MN,55806,2028,,,,,,,2187273433,TERASA NEEDHAM TJADEN,OWNER,MISC RTL STRS NEC,2000,44000,2,1,0,1,0,5999,1604,,,,,,,,,,,,0,0,1,,,166,,,,,7,2,,,1018
2000,1049639,CHUM WORKS INC,0,775,45,2397,212 N 40TH AVE W,DULUTH,MN,55807,2835,,,,,,,2186289677,CATHERINE PETERSON,MANAGER,ENGINEERING SVCS,2000,320000,2,6,0,6,0,8711,9905,,,,,LIFECYLERS,,,,,,,0,0,1,,,166,,,,,7,2,,,1018
2000,1049647,EFM INC,0,918,45,7647,1937 WOODLANE DR STE 102,SAINT PAUL,MN,55125,3926,,,,,,,6517340242,ERINE MAIER,PRESIDENT,MNGMNT CNSLTNG SVCS,2000,210000,2,3,0,3,0,8742,9902,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1049761,FULL CIRCLE,0,775,45,2397,230 E SUPERIOR ST,DULUTH,MN,55802,2185,,,,,,,2187265433,KELLY RAVENFEATHER,PRINCIPAL,OFCS HLTH PRNRS NE,2000,160000,2,4,0,4,0,8049,400,,,,,,,,,,,,0,0,1,,,166,,,,,7,2,,,1018
2000,1050397,RICE MICHELS & JOHNSON LLP,0,313,45,5736,10 2ND ST NE,MINNEAPOLIS,MN,55413,2269,,,,,,,6126762301,JIM MICHELS,,LEGAL SERVICES,2000,490000,2,8,0,8,0,8111,9902,,,,,,,,,,,,0,0,1,,,370,,,,,9,2,,,1018
2000,1050488,VAMNTXAWGS AGENCY,0,313,45,5736,4707 LYNDALE AVE N,MINNEAPOLIS,MN,55430,3637,,,,,,,6123029459,VEMNTXAWG LEE,OWNER,OFCS CLNS OF MDL D,2000,81000,2,1,0,1,0,8011,303,,,,,,,,,,,,0,0,1,,,370,,,,,9,2,,,1018
2000,1050660,BANG CUSTOM PACKAGING LTD,0,918,45,8235,324 MAIN ST S STE 200,STILLWATER,MN,55082,5195,,,,,,,6512751268,SCOTT M BANG,CHIEF EXECUTIVE OFFICER,NONDURABLE GDS NEC,2000,2000000,0,2,0,2,0,5199,9918,,,,,,,,,,,,0,0,1,,,370,,,,,7,3,,,1117
2000,1050744,QUOTECOUNSEL INC,0,698,45,7647,360 ROBERT ST N STE 610,SAINT PAUL,MN,55101,1513,,,,,,,6516659730,CHRISTOPHER LONG,CHIEF EXECUTIVE OFFICER,LEGAL SERVICES,2000,1600000,0,7,0,7,0,8111,9903,,,,,,,,,,,,0,0,1,,,370,,,,,8,3,,,1107
2000,1051205,QUALITY PLUS HOME HEALTH CARE,0,698,45,7647,383 UNIVERSITY AVE W,SAINT PAUL,MN,55103,1934,,,,,,,6513120202,CHEU LEE,OWNER,HOME HLTH CARE SVCS,2000,100000,2,2,0,2,0,8082,0,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1051262,WKY INTERNATIONAL INC,0,698,45,7647,775 MILTON ST N,SAINT PAUL,MN,55104,1530,,,,,,,6514874058,YING XIONG,PRESIDENT,ATMTVE RPR SHPS NE,2000,520000,2,11,0,11,0,7539,301,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1051437,DIVISION21 INC,0,698,45,7647,2402 UNIVERSITY AVE W,SAINT PAUL,MN,55114,1701,,,,,,,6519178805,LORI FOECKE,MANAGER,TELE COMM EXC RADI,2000,1000000,2,10,0,10,0,4813,200,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1051510,APPLE TRANSPORT,0,225,45,7647,1408 NORTHLAND DR,SAINT PAUL,MN,55120,1013,,,,,,,6514525557,MARIE THIELE,MANAGER,FRGT TRANS ARNGMNT,2000,1100000,2,8,0,8,0,4731,100,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1051619,KNOBS & KNOCKERS INC,0,225,45,7647,1964 RAHNCLIFF CT,SAINT PAUL,MN,55122,3003,,,,,,,6519948313,RICK KEOBOUNTHENG,PRESIDENT,HARDWARE STORES,2000,63000,2,1,0,1,0,5251,0,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1051635,WIND RIVER SYSTEMS,0,38,45,311,320 E MAIN ST,ANOKA,MN,55303,2480,,,,,,,7634275155,JULIAN OPIFICIUS,PRINCIPAL,CSTM CMPTR PRGMG SV,2000,69000,2,1,0,1,0,7371,301,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1051742,VENTAIRE EVE SYSTEMS,0,38,45,5736,2003 NORTHDALE BLVD NW,MINNEAPOLIS,MN,55433,3004,,P O BOX 480114,MINNEAPOLIS,MN,55448,8114,7637679963,SCOTT FUIEREISN,PRESIDENT,BLOWERS AND FANS,2000,200000,2,3,0,3,0,3564,203,,,,,,,,,,,,0,0,0,,,370,,,,,7,3,,,1030
2000,1051809,SSM DISTRIBUTING,0,38,45,5736,1502 99TH LN NE,MINNEAPOLIS,MN,55449,4414,,,,,,,7637862306,STEVEN STEPNIEWSKI,PARTNER,SERVICES NEC,2000,110000,2,3,0,3,0,8999,9903,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1051866,ALPINE PROFESSIONAL MTC INC,0,115,45,1746,1215 CLOQUET AVE,CLOQUET,MN,55720,1621,,,,,,,2188787923,DON LAPHROP,VICE-PRESIDENT,POLISHES SANT GOOD,2000,250000,2,4,0,4,0,2842,100,,,,,,,,,,,,0,0,0,,,,,,,,5,2,,,1018
2000,1052435,LABORWORKS,0,830,45,6555,317 N CEDAR AVE,OWATONNA,MN,55060,2307,,,,,,,5074446275,JOHNATHAN ZIERDT,PARTNER,EMPLOYMENT AGENCIES,2000,230000,2,4,0,4,0,7361,0,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1052443,LASTING RELIEF THERAPY,0,830,45,6555,205 E ROSE ST,OWATONNA,MN,55060,2425,,,,,,,5074519172,TERESA STRAND,OWNER,OFCS HLTH PRNRS NE,2000,110000,2,3,0,3,0,8049,9909,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1053904,WESTROMS CORNER,0,346,45,1389,4000 MAIN ST,CAMBRIDGE,MN,55008,,,,,,,,7635521550,JERRY WESTROM,OWNER,GASLNE SVC STATIONS,2000,1500000,2,12,0,12,0,5541,0,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1054027,BERNATZ & GORT,0,951,45,9264,53 E 3RD ST,WINONA,MN,55987,3460,,,,,,,5074579808,MICHAEL BERNATZ,PARTNER,LEGAL SERVICES,2000,150000,2,3,0,3,0,8111,9902,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1054290,DJ MILLWORKS INC,0,38,45,311,6250 INDUSTRY AVE,ANOKA,MN,55303,8304,,,,,,,7637125843,DEAN ECKERMAN,PRESIDENT,ARCHTCTRL METALWORK,2000,87000,2,2,0,2,0,3446,0,,,,,,,,,,,,0,0,0,,,370,,,,,7,2,,,1018
2000,1054753,LITTLE NOOK & CRANNY,0,357,45,1816,413 ROOSEVELT ST,COLERAINE,MN,55722,,,P O BOX 728,COLERAINE,MN,55722,728,2182451559,RALLEN NIELSEN,OWNER,GFT NVLTY SVENR S,2000,33000,2,1,0,1,0,5947,104,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1054944,LAWTHER OCTAGON HOUSE,0,291,45,7115,927 W 3RD ST,RED WING,MN,55066,2265,,,,,,,6513881778,PENNY STAPLETON,OWNER,HOTELS AND MOTELS,2000,26000,2,1,0,1,0,7011,401,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1054977,DAKOTA VALLEY FAMILY MENTAL HE,0,225,45,4310,6775 CAHILL AVE,INVER GROVE H,MN,55076,2066,,,,,,,6514550022,MICHAEL DWARONKERWARD,OWNER,INDVDL FAMILY SVCS,2000,26000,2,1,0,1,0,8322,501,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1054985,ART N SOUL,0,918,45,8235,113 MAIN ST S,STILLWATER,MN,55082,5196,,,,,,,6512750255,MARY KENZIE,OWNER,GFT NVLTY SVENR S,2000,71000,2,2,0,2,0,5947,100,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1055040,EASTSIDE TOYSTORE,0,698,45,7647,399 MARYLAND AVE E,SAINT PAUL,MN,55101,3657,,,,,,,6517714772,XEE XIONG,OWNER,HOBBY TOY GAME SH,2000,31000,2,1,0,1,0,5945,104,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1055115,TIENDA SANCHEZ MORELIA,0,698,45,7647,845 7TH ST E,SAINT PAUL,MN,55106,4515,,,,,,,6517743870,ANGLE SANCHEZ,OWNER,FAMILY CLOTHNG STRS,2000,91000,2,2,0,2,0,5651,9902,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1055123,GARDENHOUSE ON MARYLAND INC,0,698,45,7647,905 MARYLAND AVE E,SAINT PAUL,MN,55106,2618,,,,,,,6517745744,EUNIS GOLDEN,PRESIDENT,RET NSRS GDN STRS,2000,130000,2,2,0,2,0,5261,0,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1055172,IMAGES AT WORK COMMUNITY DARK,0,698,45,7647,2186 3RD ST STE 106,SAINT PAUL,MN,55110,3266,,,,,,,6517623977,PATTI WICKLUND,OWNER,PHOTOFNSHNG LBRTRS,2000,44000,2,1,0,1,0,7384,101,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1055297,WRC BROKERAGE,0,225,45,7647,2121 CLIFF DR,SAINT PAUL,MN,55122,3335,,,,,,,6514520042,WILLIAM FECHO,OWNER,AUTO OTHR MTR VHCL,2000,380000,2,2,0,2,0,5012,100,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1055305,OPUS NORTH WEST MANAGEMENT,0,918,45,7647,576 BIELENBERG DR,SAINT PAUL,MN,55125,1416,,,,,,,6512641510,JIM MONTABONO,PARTNER,MANAGEMENT SERVICES,2000,190000,2,3,0,3,0,8741,0,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1055339,KANE GROUP,0,313,45,2514,17862 COBBLESTONE WAY,EDEN PRAIRIE,MN,55347,2140,,,,,,,9529378092,BRENT KANE,OWNER,CTLG ML-ORDER HSES,2000,51000,2,1,0,1,0,5961,9912,,,,,,,,,,,,0,0,1,,,370,,,,,9,2,,,1018
2000,1055370,FREE VEND TECH SERVICE INC,0,38,45,5736,7173 COMMERCE CIR W,MINNEAPOLIS,MN,55432,3108,,,,,,,7635020413,STEPHEN IEPSON,PRESIDENT,AUTOMTIC VNDNG MACH,2000,200000,2,2,0,2,0,3581,0,,,,,,,,,,,,0,0,0,,,370,,,,,7,2,,,1018
2000,1055404,BELLE LINS,0,115,45,1746,905 CLOQUET AVE,CLOQUET,MN,55720,1615,,,,,,,2188780022,RICHARD BELLE,OWNER,WOMENS CLOTHNG STRS,2000,93000,2,2,0,2,0,5621,101,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1055412,J&B TREASURE STORE,0,115,45,1746,1201 AVENUE C,CLOQUET,MN,55720,1610,,,,,,,2188780341,TERRY CRANDLE,OWNER,FURNITURE,2000,280000,2,2,0,2,0,5021,0,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1055446,CONTRACTING PLUS,0,170,45,5834,1211 34TH STREET CIR S,MOORHEAD,MN,56560,3932,,,,,,,2182875205,DEAN STANELY,PRESIDENT,BUSINESS ASSOCIATNS,2000,99000,2,2,0,2,0,8611,101,,,,,,,,,,,,0,0,1,,,187,,,,,5,2,,,1018
2000,1055594,ESCAPE TRAVEL CO,0,819,45,7549,831 WASHINGTON MEMORIAL D,SAINT CLOUD,MN,56301,4066,,,,,,,3202583037,KIM LARSON,OWNER,TRAVEL AGENCIES,2000,190000,2,1,0,1,0,4724,0,,,,,,,,,,,,0,0,1,,,503,,,,,7,2,,,1018
2000,1061311,MOTORCYCLE MAGIC,0,786,45,7773,5385 HIGHWAY 13 W,SAVAGE,MN,55378,1210,,,,,,,9528958883,JEFF THUNE,OWNER,REPAIR SVCS NEC,2000,33000,2,1,0,1,0,7699,1302,,,,,,,,,,,,0,0,1,,,370,,,,,6,2,,,1018
2000,1061329,AUTO PRO SOUND & ACCECORIES,0,313,45,5736,7637 ZANE AVE N,MINNEAPOLIS,MN,55443,3119,,,,,,,7635037777,TODD JENSEN,OWNER,HSHLD AUDIO VDEO E,2000,270000,2,4,0,4,0,3651,102,,,,,,,,,,,,0,0,0,,,370,,,,,9,2,,,1018
2000,1064364,WELL BEING INC,0,313,45,5736,611 W 24TH ST,MINNEAPOLIS,MN,55405,3301,,,,,,,6128790101,JULIA CHAVIRA,PRESIDENT,SCLS EDCTL SVCS N,2000,20000,2,1,0,1,0,8299,9910,,,,,,,,,,,,0,0,1,,,370,,,,,9,2,,,1018
2000,1064414,LOVE IN STYLE INC,0,918,45,8235,124 2ND ST S,STILLWATER,MN,55082,5178,,,,,,,6512750444,ERICA BUEGE,PRESIDENT,MISC PRSNL SVCS NE,2000,29000,2,1,0,1,0,7299,301,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1064422,LASSIN RICHARD,0,698,45,7647,275 4TH ST E,SAINT PAUL,MN,55101,1696,,,,,,,6513120988,RICHARD LASSIN,PRESIDENT,ARCHITECTURAL SVCS,2000,51000,2,1,0,1,0,8712,100,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1064471,NOTORIOUS MOTORS INC,0,698,45,7647,210 10TH ST E,SAINT PAUL,MN,55101,2350,,,,,,,6512289600,DENISE BROWN,PRESIDENT,CTLG ML-ORDER HSES,2000,100000,2,2,0,2,0,5961,302,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1064737,CELLTECH COMMUNICATIONS,0,676,45,1998,622 UNIVERSITY AVE,CROOKSTON,MN,56716,1157,,,,,,,2182812805,MICHEAL HRON,OWNER,MISC RTL STRS NEC,2000,44000,2,1,0,1,0,5999,605,,,,,,,,,,,,0,0,1,,,218,,,,,5,2,,,1018
2000,1064992,CUSTOM PUTTERS OF MINNESOTA,0,819,45,7549,2700 1ST ST N,SAINT CLOUD,MN,56303,4256,,P O BOX 86,SAUK RAPIDS,MN,56379,86,3202583035,PAUL WEBER,OWNER,SPRTG AHLTC GDS NE,2000,44000,2,1,0,1,0,3949,105,,,,,,,,,,,,0,0,0,,,503,,,,,7,2,,,1018
2000,1066252,PLATOS CLOSET,0,775,45,2397,5115 BURNING TREE RD,DULUTH,MN,55811,1876,,,,,,,2187339455,PAT JOHNSON,OWNER,FAMILY CLOTHNG STRS,2000,470000,2,8,0,8,0,5651,9902,,,,,,,,,,,,0,0,1,,,166,,,,,7,2,,,1018
2000,1068308,EAST CITY CORP,0,313,45,5736,2727 NICOLLET AVE,MINNEAPOLIS,MN,55408,1620,,,,,,,6128130922,LARRY NG,PARTNER,RCD PRRCRDED TP ST,2000,46000,2,1,1,1,1,5735,202,,,,,,,,,,,,0,0,1,,,370,,,,,9,2,,,1018
2000,1068399,PAST LIVES,0,698,45,7647,1787 SAINT CLAIR AVE,SAINT PAUL,MN,55105,1941,,,,,,,6516969233,KATHY STEINBAUER,PARTNER,DRCT SLLNG ESTBMNTS,2000,210000,2,4,0,4,0,5963,400,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1068522,A/AL INC,0,71,45,7759,500 66TH ST NW,SAUK RAPIDS,MN,56379,9801,,,,,,,3205299100,MALCOM PRINZING,PRESIDENT,DRINKING PLACES,2000,430000,2,13,0,13,0,5813,201,,,,,SUGAR DADDYS,,,,,,,0,0,1,,,503,,,,,5,2,,,1018
2000,1068548,SHANAS AT 623 MAPLE ST,0,214,45,595,623 MAPLE ST,BRAINERD,MN,56401,3605,,,,,,,2188257676,SHANA FIARRELL-EIDMANN,OWNER,BEAUTY SHOPS,2000,16000,2,1,0,1,0,7231,9902,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1068738,MARK L ZELLER,0,742,45,2901,25 2ND ST NW,FARIBAULT,MN,55021,5106,,,,,,,5073339292,MARK L ZELLER,OWNER,LEGAL SERVICES,2000,54000,2,1,0,1,0,8111,9901,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1069769,CENTRO CAMPESINO,0,830,45,6555,104 1/2 W BROADWAY ST,OWATONNA,MN,55060,2300,,,,,,,5074469599,VICTOR CONTRERAS,PRESIDENT,BUSINESS ASSOCIATNS,2000,50000,2,1,0,1,0,8611,9903,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1071609,MINNESOTA COMBAT ARTS,0,918,45,3062,171 LAKE ST N,FOREST LAKE,MN,55025,2504,,,,,,,6519826780,DAVID MENNE,PRESIDENT,AMUSEMENT RCRTN N,2000,32000,2,1,0,1,0,7999,1113,,,,,,,,,,,,0,0,1,,,370,,,,,7,2,,,1018
2000,1072193,TULLE & DYE INC,0,313,45,5736,1500 JACKSON ST NE,MINNEAPOLIS,MN,55413,1561,,,,,,,6127892325,ELLEN RAIDER,PARTNER,APPAREL ACCS NEC,2000,67000,2,2,0,2,0,2389,300,,,,,,,,,,,,0,0,0,,,370,,,,,9,2,,,1018
2000,1072946,AMERICAN NATURAL PRODUCTS LLP,0,698,45,7647,656 PORTLAND AVE,SAINT PAUL,MN,55104,7138,,,,,,,6512915360,KIRA PELLETIER,OWNER,FDRLLY SPONSRD CRDT,2000,170000,2,2,0,2,0,6111,9902,,,,,,,,,,,,0,0,1,,,370,,,,,8,2,,,1018
2000,1083125,ALDAMON SOLUTIONS,0,93,45,5379,54347 213TH ST,MANKATO,MN,56001,3977,,,,,,,5073876815,,,COMPTR SOFTWRE STR,2000,280000,2,3,2,3,2,5734,0,,,,,,,,,,,,0,0,1,,,,,,,,6,3,,,1027
2000,1097406,DISCOVER WEB INC,0,291,45,9439,409 W 4TH ST,ZUMBROTA,MN,55992,1237,,,,,,,5077324541,SUZANNE HASS,PRINCIPAL,DATA PROC PREPARAT,2000,80000,2,2,0,2,0,7374,102,,,,,,,,,,,,0,0,1,,,,,,,,5,2,,,1018
2000,1100044,HORIZON CONCEPTS INC,0,621,45,7262,1015 SIERRA LN NE,ROCHESTER,MN,55906,4233,,,,,,,5072859024,KEVIN WALKER,PRESIDENT,CSTM CMPTR PRGMG SV,2000,64000,2,1,0,1,0,7371,0,,,,,,,,,,,,0,0,1,,,491,,,,,6,2,,,1018
2000,1100077,PHIL TEL COMMUNICATIONS,0,621,45,8228,9510 COUNTY ROAD 1 SE,STEWARTVILLE,MN,55976,7910,,,,,,,5075336719,DAVID LIEDER,OWNER,TELE COMM EXC RADI,2000,87000,2,1,0,1,0,4813,0,,,,,,,,,,,,0,0,1,,,491,,,,,6,2,,,1018
2000,1100556,ACEWORD PUBLISHING,0,313,45,5736,3940 PERRY AVE N,MINNEAPOLIS,MN,55422,2012,,P O BOX 22298,MINNEAPOLIS,MN,55422,298,7635357079,ARTHUR G KOPLIN,OWNER,BOOK PUBLISHING,2000,51000,2,1,0,1,0,2731,100,,,,,,,,,,,,0,0,0,,,370,,,,,9,3,,,1107
2000,1100606,XTREME GRAPHICS,0,313,45,5736,9925 RUSSELL AVE N,MINNEAPOLIS,MN,55444,1042,,,,,,,7634259833,BRYAN MAHLER,PARTNER,DATA PROC PREPARAT,2000,87000,2,2,0,2,0,7374,102,,,,,,,,,,,,0,0,1,,,370,,,,,9,2,,,1018
